Navigated to file:///Users/madelaine/Desktop/csc428-master/views/device1.html
js/task1a.js:94 Start tracking information: Task 1, Part 1, Attempt 1
js/task2a.js:181 Timestamp: 1426720598019: x:255, y:166
js/task2a.js:181 Timestamp: 1426720598036: x:256, y:167
js/task2a.js:181 Timestamp: 1426720598051: x:258, y:168
js/task2a.js:181 Timestamp: 1426720598068: x:261, y:169
js/task2a.js:181 Timestamp: 1426720598086: x:263, y:170
js/task2a.js:181 Timestamp: 1426720598104: x:267, y:171
js/task2a.js:181 Timestamp: 1426720598121: x:273, y:173
js/task2a.js:181 Timestamp: 1426720598137: x:278, y:175
js/task2a.js:181 Timestamp: 1426720598155: x:284, y:176
js/task2a.js:181 Timestamp: 1426720598171: x:288, y:178
js/task2a.js:181 Timestamp: 1426720598188: x:291, y:179
js/task2a.js:181 Timestamp: 1426720598205: x:294, y:180
js/task2a.js:181 Timestamp: 1426720598222: x:296, y:181
js/task2a.js:181 Timestamp: 1426720598240: x:299, y:182
js/task2a.js:181 Timestamp: 1426720598256: x:302, y:183
js/task2a.js:181 Timestamp: 1426720598274: x:309, y:185
js/task2a.js:181 Timestamp: 1426720598290: x:315, y:186
js/task2a.js:181 Timestamp: 1426720598308: x:321, y:187
js/task2a.js:181 Timestamp: 1426720598324: x:326, y:188
js/task2a.js:181 Timestamp: 1426720598343: x:331, y:189
js/task2a.js:181 Timestamp: 1426720598360: x:334, y:190
js/task2a.js:181 Timestamp: 1426720598376: x:335, y:190
js/task2a.js:181 Timestamp: 1426720598393: x:338, y:191
js/task2a.js:181 Timestamp: 1426720598410: x:340, y:191
js/task2a.js:181 Timestamp: 1426720598426: x:342, y:192
js/task2a.js:181 Timestamp: 1426720598444: x:344, y:192
js/task2a.js:181 Timestamp: 1426720598461: x:347, y:193
js/task2a.js:181 Timestamp: 1426720598478: x:349, y:193
js/task2a.js:181 Timestamp: 1426720598495: x:350, y:194
js/task2a.js:181 Timestamp: 1426720598513: x:352, y:195
js/task2a.js:181 Timestamp: 1426720598530: x:356, y:195
js/task2a.js:181 Timestamp: 1426720598547: x:362, y:196
js/task2a.js:181 Timestamp: 1426720598562: x:370, y:199
js/task2a.js:181 Timestamp: 1426720598580: x:379, y:201
js/task2a.js:181 Timestamp: 1426720598597: x:386, y:202
js/task2a.js:181 Timestamp: 1426720598615: x:391, y:204
js/task2a.js:181 Timestamp: 1426720598634: x:396, y:205
js/task2a.js:181 Timestamp: 1426720598652: x:398, y:205
js/task2a.js:181 Timestamp: 1426720598664: x:401, y:206
js/task2a.js:181 Timestamp: 1426720598684: x:403, y:206
js/task2a.js:181 Timestamp: 1426720598700: x:406, y:207
js/task2a.js:181 Timestamp: 1426720598717: x:409, y:207
js/task2a.js:181 Timestamp: 1426720598735: x:413, y:208
js/task2a.js:181 Timestamp: 1426720598752: x:418, y:209
js/task2a.js:181 Timestamp: 1426720598769: x:424, y:211
js/task2a.js:181 Timestamp: 1426720598786: x:427, y:212
js/task2a.js:181 Timestamp: 1426720598802: x:431, y:212
js/task2a.js:181 Timestamp: 1426720598819: x:434, y:213
js/task2a.js:181 Timestamp: 1426720598836: x:437, y:214
js/task2a.js:181 Timestamp: 1426720598853: x:442, y:214
js/task2a.js:181 Timestamp: 1426720598868: x:445, y:215
js/task2a.js:181 Timestamp: 1426720598886: x:449, y:216
js/task2a.js:181 Timestamp: 1426720598903: x:453, y:217
js/task2a.js:181 Timestamp: 1426720598919: x:460, y:218
js/task2a.js:181 Timestamp: 1426720598936: x:469, y:220
js/task2a.js:181 Timestamp: 1426720598954: x:476, y:222
js/task2a.js:181 Timestamp: 1426720598970: x:479, y:223
js/task2a.js:181 Timestamp: 1426720598987: x:482, y:223
js/task2a.js:181 Timestamp: 1426720599004: x:484, y:224
js/task2a.js:181 Timestamp: 1426720599021: x:488, y:227
js/task2a.js:181 Timestamp: 1426720599038: x:492, y:228
js/task2a.js:181 Timestamp: 1426720599055: x:495, y:229
js/task2a.js:181 Timestamp: 1426720599072: x:498, y:229
js/task2a.js:181 Timestamp: 1426720599089: x:500, y:229
js/task2a.js:181 Timestamp: 1426720599107: x:503, y:230
js/task2a.js:181 Timestamp: 1426720599123: x:507, y:231
js/task2a.js:181 Timestamp: 1426720599140: x:511, y:233
js/task2a.js:181 Timestamp: 1426720599157: x:517, y:236
js/task2a.js:181 Timestamp: 1426720599174: x:524, y:237
js/task2a.js:181 Timestamp: 1426720599193: x:529, y:238
js/task2a.js:181 Timestamp: 1426720599209: x:533, y:238
js/task2a.js:181 Timestamp: 1426720599227: x:535, y:238
js/task2a.js:181 Timestamp: 1426720599244: x:537, y:239
js/task2a.js:181 Timestamp: 1426720599259: x:540, y:240
js/task2a.js:181 Timestamp: 1426720599276: x:544, y:240
js/task2a.js:181 Timestamp: 1426720599295: x:550, y:242
js/task2a.js:181 Timestamp: 1426720599311: x:556, y:242
js/task2a.js:181 Timestamp: 1426720599330: x:559, y:242
js/task2a.js:181 Timestamp: 1426720599346: x:561, y:243
js/task2a.js:181 Timestamp: 1426720599363: x:562, y:243
js/task2a.js:181 Timestamp: 1426720599381: x:565, y:243
js/task2a.js:181 Timestamp: 1426720599398: x:568, y:243
js/task2a.js:181 Timestamp: 1426720599416: x:573, y:243
js/task2a.js:181 Timestamp: 1426720599432: x:577, y:243
js/task2a.js:181 Timestamp: 1426720599449: x:582, y:243
js/task2a.js:181 Timestamp: 1426720599466: x:585, y:244
js/task2a.js:181 Timestamp: 1426720599484: x:588, y:244
js/task2a.js:181 Timestamp: 1426720599504: x:591, y:245
js/task2a.js:181 Timestamp: 1426720599521: x:593, y:245
js/task2a.js:181 Timestamp: 1426720599537: x:594, y:245
js/task2a.js:165 Stop tracking information: Task 2, Part 5 completed in 1 attempt[s].
js/task2a.js:153 MouseEvent {dataTransfer: null, which: 1, toElement: canvas#myCanvas.task2, fromElement: null, y: 314…}
js/task2a.js:173 Stop tracking information: Task 2, Part 5, Attempt 1 failed.
Navigated to file:///Users/madelaine/Desktop/csc428-master/views/task3a.html
js/task3a.js:240 MouseEvent {dataTransfer: null, which: 1, toElement: canvas#myCanvas.task3, fromElement: null, y: 256…}
js/task3a.js:242 Start tracking information: Task 2, Part 1, Attempt 1
js/task3a.js:268 Timestamp: 1426720602091: x:574, y:255
js/task3a.js:268 Timestamp: 1426720602130: x:575, y:255
js/task3a.js:268 Timestamp: 1426720602145: x:576, y:254
js/task3a.js:268 Timestamp: 1426720602163: x:580, y:254
js/task3a.js:268 Timestamp: 1426720602179: x:584, y:253
js/task3a.js:268 Timestamp: 1426720602197: x:591, y:251
js/task3a.js:268 Timestamp: 1426720602213: x:598, y:249
js/task3a.js:268 Timestamp: 1426720602230: x:605, y:248
js/task3a.js:268 Timestamp: 1426720602248: x:611, y:248
js/task3a.js:268 Timestamp: 1426720602268: x:616, y:248
js/task3a.js:268 Timestamp: 1426720602281: x:621, y:248
js/task3a.js:268 Timestamp: 1426720602297: x:623, y:248
js/task3a.js:268 Timestamp: 1426720602315: x:624, y:249
js/task3a.js:268 Timestamp: 1426720602332: x:626, y:249
js/task3a.js:268 Timestamp: 1426720602351: x:627, y:249
js/task3a.js:268 Timestamp: 1426720602367: x:630, y:250
js/task3a.js:268 Timestamp: 1426720602383: x:633, y:250
js/task3a.js:268 Timestamp: 1426720602400: x:637, y:251
js/task3a.js:268 Timestamp: 1426720602418: x:642, y:251
js/task3a.js:268 Timestamp: 1426720602434: x:648, y:251
js/task3a.js:268 Timestamp: 1426720602452: x:657, y:251
js/task3a.js:268 Timestamp: 1426720602468: x:665, y:251
js/task3a.js:268 Timestamp: 1426720602486: x:673, y:251
js/task3a.js:268 Timestamp: 1426720602503: x:680, y:251
js/task3a.js:268 Timestamp: 1426720602520: x:683, y:251
js/task3a.js:268 Timestamp: 1426720602537: x:685, y:251
js/task3a.js:268 Timestamp: 1426720602554: x:687, y:251
js/task3a.js:268 Timestamp: 1426720602570: x:689, y:251
js/task3a.js:268 Timestamp: 1426720602590: x:690, y:251
js/task3a.js:268 Timestamp: 1426720602604: x:692, y:251
js/task3a.js:268 Timestamp: 1426720602621: x:695, y:251
js/task3a.js:268 Timestamp: 1426720602638: x:698, y:251
js/task3a.js:268 Timestamp: 1426720602655: x:702, y:251
js/task3a.js:268 Timestamp: 1426720602672: x:708, y:251
js/task3a.js:268 Timestamp: 1426720602688: x:712, y:251
js/task3a.js:268 Timestamp: 1426720602706: x:714, y:251
js/task3a.js:268 Timestamp: 1426720602724: x:716, y:251
js/task3a.js:268 Timestamp: 1426720602740: x:718, y:251
js/task3a.js:268 Timestamp: 1426720602757: x:720, y:251
js/task3a.js:268 Timestamp: 1426720602775: x:724, y:251
js/task3a.js:268 Timestamp: 1426720602792: x:734, y:251
js/task3a.js:268 Timestamp: 1426720602809: x:750, y:251
js/task3a.js:268 Timestamp: 1426720602826: x:764, y:251
js/task3a.js:268 Timestamp: 1426720602843: x:773, y:251
js/task3a.js:268 Timestamp: 1426720602860: x:778, y:251
js/task3a.js:268 Timestamp: 1426720602878: x:779, y:251
js/task3a.js:268 Timestamp: 1426720603064: x:780, y:251
js/task3a.js:268 Timestamp: 1426720603088: x:780, y:252
js/task3a.js:268 Timestamp: 1426720603105: x:780, y:253
js/task3a.js:268 Timestamp: 1426720603124: x:780, y:255
js/task3a.js:268 Timestamp: 1426720603139: x:779, y:256
js/task3a.js:268 Timestamp: 1426720603157: x:779, y:258
js/task3a.js:268 Timestamp: 1426720603173: x:779, y:259
js/task3a.js:268 Timestamp: 1426720603190: x:779, y:262
js/task3a.js:268 Timestamp: 1426720603207: x:779, y:264
js/task3a.js:268 Timestamp: 1426720603223: x:779, y:266
js/task3a.js:268 Timestamp: 1426720603240: x:778, y:268
js/task3a.js:268 Timestamp: 1426720603258: x:778, y:271
js/task3a.js:268 Timestamp: 1426720603276: x:778, y:274
js/task3a.js:268 Timestamp: 1426720603292: x:777, y:276
js/task3a.js:268 Timestamp: 1426720603310: x:777, y:278
js/task3a.js:268 Timestamp: 1426720603328: x:777, y:280
js/task3a.js:268 Timestamp: 1426720603345: x:777, y:283
js/task3a.js:268 Timestamp: 1426720603361: x:777, y:286
js/task3a.js:268 Timestamp: 1426720603379: x:777, y:289
