Navigated to file:///Users/madelaine/Downloads/csc428-master-2/views/device1.html
/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:94 Start tracking information: Task 1, Part 1, Attempt 1
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323796002: x:358, y:233
task2a.js:181 Timestamp: 1427323796012: x:363, y:233
task2a.js:181 Timestamp: 1427323796019: x:368, y:232
task2a.js:181 Timestamp: 1427323796024: x:373, y:232
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323796033: x:378, y:232
task2a.js:181 Timestamp: 1427323796041: x:383, y:231
task2a.js:181 Timestamp: 1427323796050: x:388, y:231
task2a.js:181 Timestamp: 1427323796057: x:392, y:230
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323796065: x:397, y:230
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323796073: x:401, y:230
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323796083: x:405, y:230
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323796087: x:409, y:230
task2a.js:181 Timestamp: 1427323796094: x:413, y:230
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323796102: x:416, y:230
task2a.js:181 Timestamp: 1427323796110: x:420, y:230
task2a.js:181 Timestamp: 1427323796117: x:424, y:231
task2a.js:181 Timestamp: 1427323796128: x:427, y:231
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323796133: x:431, y:232
task2a.js:181 Timestamp: 1427323796140: x:434, y:233
task2a.js:181 Timestamp: 1427323796148: x:438, y:233
task2a.js:181 Timestamp: 1427323796159: x:442, y:234
task2a.js:181 Timestamp: 1427323796168: x:445, y:234
task2a.js:181 Timestamp: 1427323796171: x:449, y:234
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323796179: x:452, y:235
task2a.js:181 Timestamp: 1427323796187: x:456, y:235
task2a.js:181 Timestamp: 1427323796194: x:460, y:236
task2a.js:181 Timestamp: 1427323796202: x:463, y:236
task2a.js:181 Timestamp: 1427323796209: x:467, y:237
task2a.js:181 Timestamp: 1427323796219: x:470, y:237
task2a.js:181 Timestamp: 1427323796225: x:473, y:237
task2a.js:181 Timestamp: 1427323796232: x:476, y:238
task2a.js:181 Timestamp: 1427323796241: x:479, y:238
task2a.js:181 Timestamp: 1427323796249: x:481, y:238
task2a.js:181 Timestamp: 1427323796258: x:484, y:238
task2a.js:181 Timestamp: 1427323796263: x:487, y:238
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323796271: x:490, y:238
task2a.js:181 Timestamp: 1427323796277: x:492, y:238
task2a.js:181 Timestamp: 1427323796288: x:495, y:238
task2a.js:181 Timestamp: 1427323796294: x:497, y:238
task2a.js:181 Timestamp: 1427323796301: x:500, y:238
task2a.js:181 Timestamp: 1427323796309: x:502, y:238
task2a.js:181 Timestamp: 1427323796319: x:505, y:239
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323796323: x:507, y:239
task2a.js:181 Timestamp: 1427323796333: x:510, y:239
task2a.js:181 Timestamp: 1427323796341: x:512, y:240
task2a.js:181 Timestamp: 1427323796349: x:515, y:240
task2a.js:181 Timestamp: 1427323796356: x:518, y:241
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323796366: x:520, y:241
task2a.js:181 Timestamp: 1427323796370: x:522, y:241
task2a.js:181 Timestamp: 1427323796378: x:525, y:241
task2a.js:181 Timestamp: 1427323796388: x:527, y:241
task2a.js:181 Timestamp: 1427323796393: x:529, y:241
task2a.js:181 Timestamp: 1427323796402: x:531, y:241
task2a.js:181 Timestamp: 1427323796409: x:534, y:242
