Navigated to file:///Users/madelaine/Downloads/csc428-master-2/views/device1.html
js/task1a.js:94 Start tracking information: Task 1, Part 1, Attempt 1
js/task2a.js:181 Timestamp: 1427322635661: x:403, y:242
js/task2a.js:181 Timestamp: 1427322635667: x:407, y:242
js/task2a.js:181 Timestamp: 1427322635675: x:411, y:241
js/task2a.js:181 Timestamp: 1427322635681: x:414, y:241
js/task2a.js:181 Timestamp: 1427322635693: x:418, y:240
js/task2a.js:181 Timestamp: 1427322635699: x:422, y:239
js/task2a.js:181 Timestamp: 1427322635703: x:425, y:239
js/task2a.js:181 Timestamp: 1427322635713: x:429, y:238
js/task2a.js:181 Timestamp: 1427322635720: x:433, y:237
js/task2a.js:181 Timestamp: 1427322635727: x:436, y:237
js/task2a.js:181 Timestamp: 1427322635735: x:440, y:237
js/task2a.js:181 Timestamp: 1427322635743: x:444, y:236
js/task2a.js:181 Timestamp: 1427322635753: x:447, y:236
js/task2a.js:181 Timestamp: 1427322635759: x:450, y:236
js/task2a.js:181 Timestamp: 1427322635766: x:454, y:236
js/task2a.js:181 Timestamp: 1427322635775: x:457, y:236
js/task2a.js:181 Timestamp: 1427322635782: x:461, y:236
js/task2a.js:181 Timestamp: 1427322635794: x:464, y:236
js/task2a.js:181 Timestamp: 1427322635796: x:467, y:236
js/task2a.js:181 Timestamp: 1427322635803: x:470, y:236
js/task2a.js:181 Timestamp: 1427322635813: x:473, y:236
js/task2a.js:181 Timestamp: 1427322635819: x:477, y:236
js/task2a.js:181 Timestamp: 1427322635828: x:480, y:236
js/task2a.js:181 Timestamp: 1427322635835: x:483, y:236
js/task2a.js:181 Timestamp: 1427322635843: x:486, y:237
js/task2a.js:181 Timestamp: 1427322635851: x:489, y:237
js/task2a.js:181 Timestamp: 1427322635863: x:493, y:238
js/task2a.js:181 Timestamp: 1427322635865: x:496, y:238
js/task2a.js:181 Timestamp: 1427322635876: x:499, y:239
js/task2a.js:181 Timestamp: 1427322635882: x:502, y:239
js/task2a.js:181 Timestamp: 1427322635890: x:505, y:239
js/task2a.js:181 Timestamp: 1427322635900: x:508, y:239
js/task2a.js:181 Timestamp: 1427322635904: x:510, y:240
js/task2a.js:181 Timestamp: 1427322635914: x:513, y:240
js/task2a.js:181 Timestamp: 1427322635919: x:516, y:240
js/task2a.js:181 Timestamp: 1427322635927: x:519, y:240
js/task2a.js:181 Timestamp: 1427322635935: x:522, y:240
js/task2a.js:181 Timestamp: 1427322635943: x:525, y:240
js/task2a.js:181 Timestamp: 1427322635951: x:527, y:241
js/task2a.js:181 Timestamp: 1427322635963: x:529, y:241
js/task2a.js:181 Timestamp: 1427322635965: x:531, y:241
js/task2a.js:181 Timestamp: 1427322635976: x:533, y:242
js/task2a.js:181 Timestamp: 1427322635980: x:534, y:243
js/task2a.js:181 Timestamp: 1427322635989: x:535, y:243
js/task2a.js:181 Timestamp: 1427322635996: x:536, y:243
js/task2a.js:181 Timestamp: 1427322636004: x:538, y:244
js/task2a.js:181 Timestamp: 1427322636014: x:539, y:244
js/task2a.js:181 Timestamp: 1427322636019: x:540, y:244
js/task2a.js:181 Timestamp: 1427322636027: x:541, y:244
js/task2a.js:181 Timestamp: 1427322636034: x:543, y:244
js/task2a.js:181 Timestamp: 1427322636042: x:545, y:244
js/task2a.js:181 Timestamp: 1427322636052: x:546, y:244
js/task2a.js:181 Timestamp: 1427322636062: x:548, y:244
js/task2a.js:181 Timestamp: 1427322636065: x:549, y:244
js/task2a.js:181 Timestamp: 1427322636072: x:551, y:245
js/task2a.js:181 Timestamp: 1427322636082: x:553, y:245
js/task2a.js:181 Timestamp: 1427322636088: x:554, y:245
js/task2a.js:181 Timestamp: 1427322636096: x:556, y:245
js/task2a.js:181 Timestamp: 1427322636104: x:558, y:245
js/task2a.js:181 Timestamp: 1427322636113: x:560, y:245
js/task2a.js:181 Timestamp: 1427322636119: x:562, y:245
js/task2a.js:181 Timestamp: 1427322636127: x:564, y:245
js/task2a.js:181 Timestamp: 1427322636134: x:566, y:245
js/task2a.js:181 Timestamp: 1427322636143: x:568, y:245
js/task2a.js:181 Timestamp: 1427322636150: x:570, y:245
js/task2a.js:181 Timestamp: 1427322636161: x:572, y:245
js/task2a.js:181 Timestamp: 1427322636166: x:573, y:245
js/task2a.js:181 Timestamp: 1427322636173: x:575, y:245
js/task2a.js:181 Timestamp: 1427322636181: x:577, y:244
js/task2a.js:181 Timestamp: 1427322636188: x:578, y:244
js/task2a.js:181 Timestamp: 1427322636196: x:580, y:244
js/task2a.js:181 Timestamp: 1427322636203: x:581, y:244
js/task2a.js:181 Timestamp: 1427322636211: x:583, y:244
js/task2a.js:181 Timestamp: 1427322636218: x:584, y:244
js/task2a.js:181 Timestamp: 1427322636227: x:585, y:244
js/task2a.js:181 Timestamp: 1427322636234: x:586, y:245
js/task2a.js:181 Timestamp: 1427322636244: x:587, y:245
js/task2a.js:181 Timestamp: 1427322636250: x:589, y:246
js/task2a.js:181 Timestamp: 1427322636256: x:590, y:246
js/task2a.js:181 Timestamp: 1427322636265: x:591, y:247
